# Stub sample data – replace with official KSP Datathon 2026 dataset
# This file contains synthetic location records for testing the Ibha scaffold
location_id,station_id,district_id,name,location_type,geo_lat,geo_lon,description
LOC_001,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Forum Mall,Landmark,12.9342,77.6099,Major shopping mall - pickpocketing hotspot
LOC_002,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Sony World Signal,Hotspot,12.9343,77.6247,High vehicle theft area
LOC_003,STN_WHITEFIELD,DIST_BANGALORE_EAST,ITPL Main Gate,Landmark,12.9850,77.7260,IT park entrance
LOC_004,STN_WHITEFIELD,DIST_BANGALORE_EAST,Marathahalli Junction,Hotspot,12.9592,77.7010,High traffic crime area
LOC_005,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Koramangala 5th Block,Hotspot,12.9352,77.6245,Residential burglary hotspot
LOC_006,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Koramangala 7th Block,Residential,12.9333,77.6162,Residential area with cyber crime reports
LOC_007,STN_WHITEFIELD,DIST_BANGALORE_EAST,Whitefield Main Road,Main Road,12.9698,77.7499,Primary commercial road
LOC_008,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Koramangala 8th Block,Commercial,12.9279,77.6270,Electronics shops cluster
LOC_009,STN_WHITEFIELD,DIST_BANGALORE_EAST,Varthur Main Road,Main Road,12.9345,77.7500,High-speed accident zone
LOC_010,STN_KORAMANGALA,DIST_BANGALORE_SOUTH,Koramangala 6th Block,Residential,12.9355,77.6175,Mixed residential-commercial area
