# Stub sample data – replace with official KSP Datathon 2026 dataset
# This file matches the official CaseMaster table schema from Police-FIR-ER-Diagram.pdf
# CrimeNo format: [1-digit category][4-digit district][4-digit station][4-digit year][5-digit serial]
CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,104430006202600001,202600001,2025-11-10,101,6,1,2,3,15,2,5,2025-11-10 18:00:00,2025-11-10 19:00:00,2025-11-10 19:30:00,12.9352,77.6245,Theft reported at residential apartment in Koramangala 5th Block. Gold jewelry worth Rs. 2 lakhs stolen. Suspect gained entry using duplicate key. Investigation ongoing.
2,104430006202600002,202600002,2025-10-28,102,6,1,1,4,22,2,5,2025-10-28 02:00:00,2025-10-28 02:30:00,2025-10-28 14:15:00,12.9343,77.6247,Vehicle theft case. Honda Activa (KA-01-AB-1234) stolen from Sony World Signal parking. CCTV footage shows suspect cutting lock at 2:30 AM. Registration details verified.
3,104430006202600003,202600003,2025-11-22,103,6,1,1,5,28,1,5,2025-11-22 10:00:00,2025-11-22 10:30:00,2025-11-22 11:00:00,12.9333,77.6162,Online banking fraud. Victim received phishing call claiming to be from bank. Rs. 45000 transferred to unknown account. Cyber crime unit investigating.
4,104430008202600001,202600001,2025-11-15,201,8,1,2,2,8,2,7,2025-11-15 08:30:00,2025-11-15 08:45:00,2025-11-15 08:45:00,12.9698,77.7499,Chain snatching on Whitefield Main Road. Two suspects on motorbike snatched gold chain from pedestrian. Victim sustained minor injuries. Suspects absconding.
5,104430008202600002,202600002,2025-11-20,202,8,1,1,2,9,3,7,2025-11-20 20:45:00,2025-11-20 21:00:00,2025-11-20 21:15:00,12.9850,77.7260,Assault case following road rage incident at ITPL junction. Two persons involved in altercation. Both sustained minor injuries. Chargesheet filed.
6,104430006202600004,202600004,2025-12-01,104,6,1,1,3,18,1,5,2025-12-01 16:15:00,2025-12-01 16:30:00,2025-12-01 16:30:00,12.9342,77.6099,Pickpocketing at Forum Mall. Mobile phone (iPhone 13) stolen from victim's pocket in crowded area. Suspect identified from CCTV footage. Investigation in progress.
7,104430006202600005,202600005,2025-12-05,101,6,1,2,3,15,2,5,2025-12-05 22:00:00,2025-12-05 23:00:00,2025-12-05 10:00:00,12.9279,77.6270,Burglary at electronics shop in Koramangala 8th Block. Stock worth Rs. 3 lakhs stolen. Similar MO to CrimeNo 104430006202600001. Same suspect suspected.
8,104430008202600003,202600003,2025-12-08,203,8,1,2,2,11,2,7,2025-12-08 13:15:00,2025-12-08 13:20:00,2025-12-08 13:20:00,12.9345,77.7500,Hit and run accident on Varthur Road. Pedestrian critically injured. Vehicle number partially captured on CCTV. Traffic police assisting investigation.
9,204430006202600001,202600001,2025-12-10,105,6,2,2,6,32,1,5,2025-12-09 00:00:00,2025-12-10 09:00:00,2025-12-10 09:15:00,12.9355,77.6175,Cyber crime - social media fraud. Fake investment scheme promoted on Facebook. Multiple victims reported. Total fraud amount Rs. 12 lakhs. IT Act sections invoked.
10,104430008202600004,202600004,2025-12-12,204,8,1,1,3,19,2,7,2025-12-12 17:30:00,2025-12-12 18:00:00,2025-12-12 18:00:00,12.9592,77.7010,Auto-rickshaw theft from Marathahalli stand. Owner received ransom call demanding Rs. 10000. Call traced. Investigation ongoing.
